Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,2.6,2.65,1.56,2.558,2.558,689500
8/1/2017,1.6,2.23,1.11,1.726,1.726,1767000
9/1/2017,1.73,2.43,1.25,1.9,1.9,1172800
10/1/2017,1.925,2.05,1.7,1.77,1.77,513500
11/1/2017,1.77,2.47,1.56,2.03,2.03,1047400
12/1/2017,2.02,4.9,2.02,4.09,4.09,2316900
1/1/2018,4.425,5.35,2.56,3.3,3.3,3900200
2/1/2018,3.3,3.49,2.61,2.71,2.71,861900
3/1/2018,2.78,2.78,1.9,1.94,1.94,613700
4/1/2018,1.98,3.766,1.7,3.64,3.64,1193000
5/1/2018,3.68,4.7,2.68,3.75,3.75,2906400
6/1/2018,3.85,3.97,3.05,3.449,3.449,1946000
7/1/2018,3.3,3.45,2.12,2.41,2.41,1176500
8/1/2018,2.425,3,2.025,2.65,2.65,1489800
9/1/2018,2.65,3.7,2.13,3.04,3.04,2076300
10/1/2018,3.07,3.29,2.14,2.558,2.558,1875600
11/1/2018,2.645,3.1,2.25,2.31,2.31,1413300
12/1/2018,2.3,2.45,1.7,2.13,2.13,1008100
1/1/2019,2.08,2.25,1.83,2,2,909900
2/1/2019,2.01,2.079,1.81,1.9,1.9,770000
3/1/2019,1.89,1.92,1.75,1.82,1.82,755800
4/1/2019,1.89,1.89,0.81,1.285,1.285,1016500
5/1/2019,1.39,1.52,1.15,1.35,1.35,711500
6/1/2019,1.25,1.68,1.02,1.22,1.22,828000
7/1/2019,1.17,1.35,1.05,1.25,1.25,702500
8/1/2019,1.25,1.34,1.06,1.1,1.1,565200
9/1/2019,1.08,1.15,0.85,0.95,0.95,431700
10/1/2019,0.95,0.95,0.42,0.68,0.68,634600
11/1/2019,0.68,0.8,0.6,0.69,0.69,449800
12/1/2019,0.689,0.7,0.6,0.611,0.611,580200
1/1/2020,0.62,0.78,0.6,0.64,0.64,499500
2/1/2020,0.625,0.95,0.55,0.65,0.65,1047900
3/1/2020,0.66,0.72,0.35,0.548,0.548,746400
4/1/2020,0.5,0.62,0.402,0.57,0.57,535600
5/1/2020,0.57,0.67,0.45,0.64,0.64,411200
6/1/2020,0.57,0.7,0.5,0.54,0.54,271800
7/1/2020,0.54,0.609,0.54,0.59,0.59,25600
7/6/2020,0.52,0.59,0.52,0.54,0.54,11425
