Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,19.92,27,0.054,26.16,26.16,1004100
8/1/2017,25.860001,26.280001,21.719999,24,24,728900
9/1/2017,24.24,28.200001,2.51,26.76,26.76,1049600
10/1/2017,26.940001,30.6,25.32,28.308001,28.308001,1498900
11/1/2017,28.92,82.32,6.51,72,72,27460918
12/1/2017,72,100.559998,7.21,91.559998,91.559998,4222700
1/1/2018,9.6,147.600006,8.9,114.564003,114.564003,33407844
2/1/2018,115.115997,120.071999,68.916,97.199997,97.199997,4944700
3/1/2018,99.480003,111.599998,81.599998,87.239998,87.239998,2400700
4/1/2018,86.099998,87.599998,64.019997,75.587997,75.587997,2892900
5/1/2018,75.599998,82.559998,66.839996,75,75,2929300
6/1/2018,76.199997,96.480003,74.279999,84.839996,84.839996,4064600
7/1/2018,84.540001,87.599998,59.891998,65.400002,65.400002,2402100
8/1/2018,64.800003,86.760002,48.576,80.160004,80.160004,7923500
9/1/2018,81.239998,125.040001,70.727997,115.199997,115.199997,20018900
10/1/2018,119.760002,150.300003,5.39,6.8,6.8,199559400
11/1/2018,83.279999,97.440002,63.720001,68.639999,68.639999,24882000
12/1/2018,71.400002,74.760002,54.959999,59.52,59.52,20201300
1/1/2019,58.68,90.239998,57.959999,85.080002,85.080002,37980600
2/1/2019,85.440002,100.019997,79.919998,90.720001,90.720001,43570100
3/1/2019,90.720001,123.839996,84.120003,108.720001,108.720001,81165600
4/1/2019,111.480003,112.440002,101.400002,108.959999,108.959999,32738100
5/1/2019,109.32,109.655998,90.120003,91.080002,91.080002,27943200
6/1/2019,90,97.919998,84.120003,93.839996,93.839996,17245700
7/1/2019,95.760002,95.760002,72,75,75,21502200
8/1/2019,74.639999,86.400002,64.559998,66,66,23380900
9/1/2019,65.400002,78,51.959999,52.68,52.68,27003200
10/1/2019,51.959999,55.68,40.799999,43.080002,43.080002,31355500
11/1/2019,42.959999,47.040001,25.68001,30.000011,30.000011,616967800
12/1/2019,30.240011,32.880013,22.560009,25.92001,25.92001,569384100
1/1/2020,27.000011,27.84,18,22.68,22.68,104645600
2/1/2020,23.4,26.4,15.84,16.08,16.08,73170400
3/1/2020,16.68,17.16,7.2,10.872,10.872,64992400
4/1/2020,10.5,11.16,7.86,8.880004,8.880004,80890100
5/1/2020,8.76,19.68,5.3,14.08,14.08,463852200
6/1/2020,14.09,15.88,11.88,12.42,12.42,121720700
7/1/2020,12.36,12.87,11.95,12.27,12.27,5302300
7/6/2020,12.27,12.56,11.97,12.18,12.18,3343076
