Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,20.549999,26.879999,18.74,21.959999,21.959999,1375400
12/1/2018,22.030001,22.76,11.99,19.01,19.01,4624100
1/1/2019,19.1,30,16.9,22.51,22.51,2072900
2/1/2019,22.59,24.76,18.5,19.66,19.66,2506200
3/1/2019,19.76,26.120001,16.040001,20.639999,20.639999,5260000
4/1/2019,20.209999,30,19.129999,22.26,22.26,5739200
5/1/2019,22.26,24.219999,18.030001,18.26,18.26,3911700
6/1/2019,17.75,20.370001,16.4,16.43,16.43,3365600
7/1/2019,16.469999,16.809999,11.75,12.51,12.51,4608500
8/1/2019,12.64,12.64,7.25,7.28,7.28,4422200
9/1/2019,7.56,9.25,7.05,7.39,7.39,4476900
10/1/2019,7.54,7.92,5.41,5.92,5.92,5363800
11/1/2019,6,6.91,3.84,5.61,5.61,9424100
12/1/2019,5.36,7.08,5.02,5.92,5.92,5641600
1/1/2020,6.2,7.1,5.25,5.81,5.81,5500100
2/1/2020,6,6.19,3.75,3.98,3.98,4700000
3/1/2020,4.25,4.25,1.47,2.33,2.33,10971200
4/1/2020,2.28,3.02,1.56,2.26,2.26,10959500
5/1/2020,2.32,4.08,1.93,3.3,3.3,8675900
6/1/2020,3,3.9,2.13,2.56,2.56,9068700
7/1/2020,2.47,2.65,2.47,2.51,2.51,219800
7/6/2020,2.35,2.6,2.35,2.51,2.51,143521
