Date,Open,High,Low,Close,Adj Close,Volume
3/1/2018,0.95,0.957,0.649,0.736,0.736,62600
4/1/2018,0.747,0.75,0.369,0.442,0.442,340200
5/1/2018,0.45,0.47,0.402,0.414,0.414,545200
6/1/2018,0.411,0.72,0.388,0.536,0.536,1070900
7/1/2018,0.562,0.577,0.421,0.51,0.51,156400
8/1/2018,0.533,0.852,0.499,0.779,0.779,2818700
9/1/2018,0.832,3.621,0.737,2.403,2.403,30953500
10/1/2018,2.61,3.048,1.311,1.637,1.637,29525600
11/1/2018,1.718,2.35,1.282,1.299,1.299,7868800
12/1/2018,1.295,1.36,0.863,1.05,1.05,5767000
1/1/2019,1.09,1.84,1,1.707,1.707,12430100
2/1/2019,1.735,2.23,1.55,1.889,1.889,13610200
3/1/2019,1.88,1.93,1.3,1.42,1.42,12377500
4/1/2019,1.49,1.49,1.096,1.13,1.13,12390900
5/1/2019,1.13,1.375,0.99,1.07,1.07,13767300
6/1/2019,1.13,1.139,0.71,1.015,1.015,11642000
7/1/2019,1.03,1.09,0.772,0.795,0.795,8769300
8/1/2019,0.806,0.97,0.735,0.756,0.756,7890300
9/1/2019,0.767,0.825,0.65,0.717,0.717,6208400
10/1/2019,0.695,0.72,0.528,0.554,0.554,6917200
11/1/2019,0.55,0.792,0.456,0.504,0.504,7479500
12/1/2019,0.504,0.52,0.4,0.462,0.462,8172300
1/1/2020,0.493,0.564,0.424,0.48,0.48,5009200
2/1/2020,0.48,0.495,0.33,0.37,0.37,4208000
3/1/2020,0.37,0.42,0.199,0.282,0.282,9144700
4/1/2020,0.285,0.404,0.233,0.385,0.385,4951200
5/1/2020,0.388,0.616,0.34,0.425,0.425,8174200
6/1/2020,0.389,0.448,0.335,0.37,0.37,4953600
7/1/2020,0.39,0.39,0.323,0.365,0.365,245100
7/6/2020,0.3738,0.3797,0.3347,0.34921,0.34921,907121
