Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,3.22,4.32,3.07,4.05,4.05,2756300
8/1/2017,4.05,4.28,1.86,2.47,2.47,10195500
9/1/2017,2.49,4,2.4,3.2,3.2,7593400
10/1/2017,3.18,3.55,2.82,3.13,3.13,4362400
11/1/2017,3.17,3.9,2.93,3.63,3.63,6472900
12/1/2017,3.63,3.79,3.11,3.75,3.75,3352600
1/1/2018,3.75,5.48,3.75,4.9,4.9,9016700
2/1/2018,4.85,6.1,4.7,5.29,5.29,7943200
3/1/2018,5.3,7.17,5.1,6.69,6.69,17505800
4/1/2018,6.7,7.3,5.95,6.61,6.61,12353400
5/1/2018,6.61,6.9,4.9,5.17,5.17,16732500
6/1/2018,5.18,6.54,5.03,6.39,6.39,17716600
7/1/2018,6.35,7.15,6.02,6.87,6.87,10503400
8/1/2018,6.84,9.1,6.42,8.97,8.97,25621100
9/1/2018,9.1,9.22,7.08,7.94,7.94,21019200
10/1/2018,7.96,9.29,6.94,7.45,7.45,24733300
11/1/2018,7.48,7.68,3.19,4.94,4.94,35976700
12/1/2018,5.16,5.21,2.92,3.34,3.34,27016800
1/1/2019,3.27,4.22,2.64,3.39,3.39,17616900
2/1/2019,3.45,6.06,3.1,4.74,4.74,117052700
3/1/2019,4.72,4.97,1.87,2.09,2.09,69266600
4/1/2019,2.11,5.75,1.99,4.48,4.48,96785500
5/1/2019,4.43,5.11,3.35,3.39,3.39,23988500
6/1/2019,3.36,4.37,3.18,3.56,3.56,13242700
7/1/2019,3.61,3.76,2.62,3.09,3.09,13721700
8/1/2019,3.1,4.5,2.67,3.78,3.78,21184700
9/1/2019,3.85,4.99,3.55,4.76,4.76,17328100
10/1/2019,4.69,5.26,3.25,3.32,3.32,17977700
11/1/2019,3.33,4.52,3.29,4.02,4.02,16489200
12/1/2019,4,4.06,3.01,3.09,3.09,29166000
1/1/2020,3.16,3.22,2.42,2.56,2.56,33352000
2/1/2020,2.59,4.08,2.59,3.19,3.19,50494900
3/1/2020,3.17,3.83,1.4,2.56,2.56,60888800
4/1/2020,2.39,2.98,2.14,2.7,2.7,26555300
5/1/2020,2.74,3.85,2.23,3.73,3.73,45584900
6/1/2020,3.85,6.07,3.68,4.27,4.27,91617400
7/1/2020,4.25,4.97,4.23,4.78,4.78,5738700
7/6/2020,4.99,5.09,4.7,4.765,4.765,3841146
