Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,4.115,5.45,3.99,5.2,5.2,4472900
8/1/2017,5.203,5.23,4.46,4.781,4.781,3253500
9/1/2017,4.845,5.8,4.78,5.7,5.7,4028100
10/1/2017,5.77,6.438,5.068,5.97,5.97,9609800
11/1/2017,6.09,10.08,5.86,8.772,8.772,15347600
12/1/2017,8.855,15.808,8.645,14.75,14.75,15142100
1/1/2018,15.51,19.868999,13.302,17.780001,17.780001,37521213
2/1/2018,14.42,14.724,9.329,10.405,10.405,20205100
3/1/2018,10.575,11.869,8.86,8.9599,8.9599,17438619
4/1/2018,9.01,10.06,7.04,7.81,7.81,13808500
5/1/2018,7.855,10.32,7.48,8.86,8.86,20821900
6/1/2018,8.99,10.1,8.619,9.03,9.03,20322600
7/1/2018,9.11,9.32,7.72,8.828,8.828,12268700
8/1/2018,8.3,13.069,6.59,12.96,12.96,41059700
9/1/2018,12.96,16.860001,12.12,13.935,13.935,111525000
10/1/2018,14.577,16.190001,9.45,11.934,11.934,56731400
11/1/2018,12.21,13.45,7.63,7.9,7.9,105645700
12/1/2018,6.5,6.91,3.75,5.69,5.69,259556600
1/1/2019,5.69,8.93,5.45,8.74,8.74,268666600
2/1/2019,9.05,10.95,8.08,10.36,10.36,206362600
3/1/2019,10.41,10.68,8.735,9.32,9.32,94126200
4/1/2019,9.44,10.17,7.33,7.63,7.63,108437100
5/1/2019,7.65,7.68,6.38,6.59,6.59,93788100
6/1/2019,6.64,7.6,6.29,7.01,7.01,66614300
7/1/2019,7.07,7.11,5.215,5.38,5.38,63591500
8/1/2019,5.35,7.6,5.02,6.26,6.26,157959300
9/1/2019,6.2,7.14,5.1,5.19,5.19,63199800
10/1/2019,5.2,5.7,4.23,5,5,141435400
11/1/2019,5.01,5.41,3.76,4.74,4.74,101517700
12/1/2019,4.75,5.61,4.52,5.22,5.22,88330800
1/1/2020,5.32,6,4.52,4.66,4.66,164166300
2/1/2020,4.68,4.845,3.31,3.66,3.66,104611200
3/1/2020,3.69,3.72,1.95,3.06,3.06,116291200
4/1/2020,2.95,4.3,2.79,3.59,3.59,141757900
5/1/2020,3.52,4.53,2.78,4.23,4.23,160003600
6/1/2020,4.2,5.248,3.96,4.29,4.29,126069300
7/1/2020,4.337,4.46,4.3,4.3,4.3,6213800
7/6/2020,4.33,4.455,4.31,4.38,4.38,2970533
