Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,14,15.1862,12.2416,12.8,12.8,222476
12/1/2018,12.8918,12.8918,8.754,10.565,10.565,254439
1/1/2019,10.565,12.02,10.565,11.747,11.747,553476
2/1/2019,11.75,15.2,11.75,15,15,360607
3/1/2019,16.0142,16.061199,14.0386,15.3223,15.3223,1197322
4/1/2019,15.3511,19.330601,15.1342,16.75,16.75,1083437
5/1/2019,17.010099,19.700001,12.584,16.6015,16.6015,1684499
6/1/2019,16.691099,16.691099,13.04,14.144,14.144,252873
7/1/2019,14.74,14.76,9,10.705,10.705,1829504
8/1/2019,10.722,13,9.44,9.915,9.915,271251
9/1/2019,9.915,11.21,7.54387,10,10,547414
10/1/2019,9.19,9.75,8.23,9.75,9.75,279411
11/1/2019,9.74,9.79499,7.56,8.911,8.911,361769
12/1/2019,9,9.4604,8.1,9.38,9.38,479118
1/1/2020,9.38,11.15,8.4,9.6,9.6,229358
2/1/2020,9.73526,9.94,6.36734,9.2,9.2,280110
3/1/2020,9.15,9.3,3.44,6.255,6.255,1070587
4/1/2020,5.71,6.21,4.8,6.17919,6.17919,500406
5/1/2020,5.9,9,5.18067,8.5,8.5,453309
6/1/2020,8.38412,8.65,6.735,7.2,7.2,613692
7/1/2020,7.01,8.11,7.01,7.96684,7.96684,74764
7/7/2020,7.95,8,7.777162,7.8,7.8,28380
