Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,6.4,7.25,5.75,5.95,5.95,9319200
8/1/2017,6.05,7.9,5.6,7.75,7.75,11179800
9/1/2017,7.8,7.9,6.4,7.15,7.15,9036300
10/1/2017,7.25,8.75,6.65,7.1,7.1,20267500
11/1/2017,7.15,7.95,6.4,6.95,6.95,18252200
12/1/2017,7.75,7.9,6.6,7.1,7.1,12329400
1/1/2018,7.2,9.955,7.1,7.5,7.5,26275600
2/1/2018,7.65,8.35,6.5,7.4,7.4,17588900
3/1/2018,7.35,7.5,5.45,6.1,6.1,15423200
4/1/2018,6.05,6.95,5.55,5.95,5.95,9177900
5/1/2018,5.9,6.55,5.05,6.2,6.2,14850200
6/1/2018,6.2,6.4,4.85,5.05,5.05,10720100
7/1/2018,5,5.7,4.8,5.05,5.05,7862800
8/1/2018,5.05,5.85,4.5,5.85,5.85,7971100
9/1/2018,5.85,8.35,4.8,7.55,7.55,44679200
10/1/2018,7.68,8.57,6.375,6.66,6.66,34888800
11/1/2018,6.69,7.75,5.67,6.9,6.9,14013500
12/1/2018,7.15,7.22,4.96,5.84,5.84,11124000
1/1/2019,5.75,8.5,5.75,7.56,7.56,26846700
2/1/2019,7.58,9.11,6.77,6.94,6.94,32741800
3/1/2019,6.99,7.81,5.62,6.95,6.95,43355400
4/1/2019,6.97,8.09,6.7,7.14,7.14,26268500
5/1/2019,7.14,7.99,6.76,7.01,7.01,20565300
6/1/2019,7.04,7.55,6.425,6.93,6.93,16159200
7/1/2019,7,7.13,5.81,6,6,10311500
8/1/2019,6.01,6.446,5.113,5.18,5.18,16180700
9/1/2019,5.2,5.93,4.84,4.87,4.87,10721900
10/1/2019,4.9,5.58,4.44,5.17,5.17,9984600
11/1/2019,5.18,5.37,4.18,4.7,4.7,17403200
12/1/2019,4.72,5.74,4.54,5.46,5.46,12586600
1/1/2020,5.5,7.26,5.26,6.47,6.47,15593500
2/1/2020,6.46,7.19,4.61,4.74,4.74,24371900
3/1/2020,4.8,5.75,3.29,5.24,5.24,25600600
4/1/2020,4.96,6.67,4.645,6.48,6.48,16645300
5/1/2020,6.42,8.66,5.75,7.46,7.46,22591100
6/1/2020,7.4,8.59,6.66,8.39,8.39,40015500
7/1/2020,8.51,8.779,7.95,7.95,7.95,3055500
7/6/2020,8.15,8.15,7.78,7.91,7.91,1272281
