Date,Open,High,Low,Close,Adj Close,Volume
10/1/2018,7.946,8.5,5.653,7.21,7.21,354800
11/1/2018,7.577,9.8,4.816,8.12,8.12,4855251
12/1/2018,5.487,6.5,3.883,4.74,4.74,3719500
1/1/2019,4.74,6.813,4.58,6.484,6.484,3444700
2/1/2019,6.495,8.25,6.449,7.9,7.9,5473200
3/1/2019,7.841,10.197,6.095,9.136,9.136,20922600
4/1/2019,9.212,11.45,8.194,9.91,9.91,15676800
5/1/2019,10.423,11.731,7.985,8.273,8.273,18890400
6/1/2019,8.369,8.876,6.997,7.17,7.17,9043300
7/1/2019,7.165,8.43,6.15,7.9,7.9,18177500
8/1/2019,8.13,8.13,5.842,7.06,7.06,11062300
9/1/2019,7.19,8.153,5.35,5.41,5.41,14240600
10/1/2019,5.346,6.985,4.76,4.771,4.771,9596300
11/1/2019,4.83,7.06,4.51,6.09,6.09,9886600
12/1/2019,5.961,6.35,5.25,6.31,6.31,7208100
1/1/2020,6.5,7.608,5.84,7.1,7.1,9803900
2/1/2020,7.105,7.208,4.398,5.3,5.3,8310500
3/1/2020,5.235,5.45,2.54,3.93,3.93,16410300
4/1/2020,3.93,4.96,3.4,4.71,4.71,9652000
5/1/2020,4.67,6.76,4.1,5.92,5.92,12244500
6/1/2020,5.93,6.135,5.1,6.1,6.1,8306600
7/1/2020,6.48,6.48,5.9,5.917,5.917,595400
7/6/2020,5.89,6,5.8,5.85,5.85,319329
