EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
5.760000002,MO,2006,1.154363562,62.41544136,185187000000,0.074888311,7.29138572,0,1.462757768,4,1
5.760000002,MO,2006,1.895983945,59.38664886,173528000000,0.070939548,6.703797101,0,1.451153193,3,1
5.760000002,MO,2006,3.68325286,62.22332943,171052000000,0.069260034,6.637895634,0,1.510543952,2,1
5.150000001,MO,2005,1.380746991,53.98697491,157156000000,0.08436214,6.295812994,0,1.843389555,3,1
4.360000002,MO,2007,0.992285971,72.96335402,156579000000,0.115662391,8.589574729,0,1.781502641,4,1
5.760000002,MO,2006,-0.325336905,43.80838322,155388000000,0.092989723,6.38014105,0,1.540425755,1,1
5.150000001,MO,2005,1.47829805,66.25680874,155240000000,0.065617386,6.33890171,0,1.795614305,4,1
4.360000002,MO,2007,1.550770139,57.64235989,148544000000,0.149486629,7.733865853,0,1.656070538,3,1
4.360000002,MO,2007,-0.322134293,68.23762374,142275000000,0.143694004,8.104092362,0,1.611578222,1,1
5.150000001,MO,2005,2.653305771,47.32579335,140037000000,0.088624656,5.650299489,0,1.996016533,2,1
5.321186882,MO,2017,1.357400722,99.34433976,139181000000,0.114274062,22.88039125,0.847251963,2.766313214,1,1
7.294569672,MO,2016,0.117827869,13.54394706,139178000000,0.804698512,22.26129239,0.115901129,2.596867659,4,1
5.150000001,MO,2005,-0.231854839,51.992,135387000000,0.080348051,5.732372258,0,1.899441513,1,1
5.321186882,MO,2017,0.369078605,27.00850181,134124000000,0.32294986,21.98397312,0.25432944,1.809520713,4,1
4.360000002,MO,2007,2.77067603,63.0900021,133498000000,0.130706035,7.097583308,0,1.644635246,2,1
7.294569672,MO,2016,-0.860358056,80.06866304,132354000000,0.526433121,20.2965036,0.66969147,8.975796178,2,1
4.600000001,MO,2004,1.014391378,65.30744873,130027000000,0.064823859,5.900936257,0,2.038744546,4,1
5.321186882,MO,2017,-0.400931195,65.05531423,129395000000,0.16017072,19.41993396,0.594268477,2.521178934,2,1
7.294569672,MO,2016,1.223643808,98.08,128730000000,0.371263587,18.6429428,1.01189387,10.18682065,3,1
3.689984102,MO,2018,1.404547858,56.89,124560000000,0.125403382,18.21854176,0.681420484,1.836775526,3,1
5.321186882,MO,2017,1.119356513,32.21,123424000000,0.153378267,18.34215337,0.629689175,2.629787934,3,1
7.294569672,MO,2016,1.361451943,67.56,122661000000,0.443351548,20.22102868,0.910435497,11.40910747,1,1
2.672616012,MO,2015,0.842937277,29.54,119837000000,0.432986111,18.96750712,0.888532478,10.296875,4,1
2.672616012,MO,2015,1.416921509,78.95,118642000000,0.529269138,17.71042544,0.668193717,10.08382404,3,1
4.540000002,MO,2003,0.905259653,89.7,117657000000,0.086692986,5.68640167,0,2.503409499,4,1
4.600000001,MO,2004,0.137925959,35.11,116039000000,0.083532042,5.313394153,0,2.25514158,1,1
-0.11549084,NBEV,2017,-0.000162359,117.09,115299000000,0.044994816,7633.251692,0,0.24427373,2,0
3.689984102,MO,2018,0.529287599,12.56,110763000000,0.118764244,17.56744647,0.707889126,1.733413522,2,1
3.689984102,MO,2018,1.461295419,56.8,106553000000,0.123034949,17.44480845,0.663674762,1.851695466,1,1
2.672616012,MO,2015,-0.66293279,-10.56,106449000000,0.521050738,16.09690005,0.70718232,10.46779417,2,1
2.563195147,MO,2014,0.786653185,89.1,105032000000,0.410086264,16.78360499,0.83171521,10.43828799,4,1
-0.691813804,MO,2019,1.201173959,56.78,101814000000,0.079551104,18.09069296,1.341071429,3.207188011,1,0
4.600000001,MO,2004,2.16714171,136,99216871220,0.088539697,4.365402641,0,2.162397277,3,1
4.600000001,MO,2004,1.964418131,78.8,98790169453,0.095625563,4.293731287,0,2.226858686,2,1
4.540000002,MO,2003,2.241490249,110.56,98773233607,0.112532305,4.717189627,0,2.779797626,3,1
2.672616012,MO,2015,1.246185148,78.4,98398300000,0.401894986,16.95353205,1.007858546,12.50651402,1,1
2.563195147,MO,2014,1.133266027,56.7,94097500000,0.32533768,14.49661069,0.681460272,6.937121565,3,1
-0.691813804,MO,2019,0.033119658,43.2,90792000000,0.137997788,13.71687566,0.751002004,2.975456305,2,0
3.689984102,MO,2018,0.910969793,67.8,90198600000,0.084533712,14.75279686,1.2048,2.762629337,4,1
-0.691813804,MO,2019,1.325307651,78.2,89712000000,-0.291546127,14.93457633,-0.866041896,6.918836387,4,0
-0.691813804,MO,2019,1.497060396,80.3,85991160000,-0.246752015,12.54246791,-0.575326672,4.017828355,3,0
4.540000002,MO,2003,0.927274969,51.2,85368421040,0.114488713,4.098143202,0,2.855967263,2,1
2.563195147,MO,2014,-0.705496722,-10.4,81540960000,0.287144482,13.03404092,0.756735341,6.572696246,2,1
