Date,Open,High,Low,Close,Adj Close,Volume
3/1/2018,4.22,5,3.78,4.07,4.07,1329300
4/1/2018,4.06,5.49,3.1,4.95,4.95,2826000
5/1/2018,5.1,5.49,4.46,4.51,4.51,1684000
6/1/2018,4.5,4.8,3.8,3.9,3.9,1148000
7/1/2018,3.93,4.54,3.41,3.543,3.543,1499000
8/1/2018,3.55,5.065,3.41,4.61,4.61,3060300
9/1/2018,4.67,5.1,3.9,4.3,4.3,3240500
10/1/2018,4.2,4.52,3.05,3.37,3.37,2441200
11/1/2018,3.35,4.19,2.9,3,3,2165700
12/1/2018,3.01,3.11,2.049,2.25,2.25,2013400
1/1/2019,2.235,3.24,2.18,2.99,2.99,1781600
2/1/2019,2.94,3.62,2.75,2.77,2.77,2468400
3/1/2019,2.755,3.28,2.52,3.015,3.015,2707000
4/1/2019,3.03,3.28,2.65,2.69,2.69,2273900
5/1/2019,2.65,3.79,2.53,3.06,3.06,3465600
6/1/2019,3.05,3.35,2.9,3.3,3.3,1149900
7/1/2019,3.285,4.68,3.1,4.45,4.45,4010700
8/1/2019,4.51,5.5,4.26,5.42,5.42,4309400
9/1/2019,5.42,5.75,4.12,4.25,4.25,2218400
10/1/2019,4.3,4.35,3.45,4.05,4.05,1893500
11/1/2019,3.95,5.1,3.78,4.85,4.85,3383700
12/1/2019,4.9,4.95,3.82,4.1,4.1,3588700
1/1/2020,4.15,5.3,3.93,4.76,4.76,6566200
2/1/2020,4.81,6.78,4.6,5.53,5.53,13329800
3/1/2020,5.34,5.648,2.62,3.81,3.81,11359200
4/1/2020,3.71,4.89,3.06,4.7,4.7,5864600
5/1/2020,4.54,6.97,4.335,6.61,6.61,11637800
6/1/2020,6.53,7.821,6.01,6.84,6.84,31215500
7/1/2020,6.8,7.08,6.65,6.95,6.95,2523900
7/7/2020,6.94,7.34,6.83,6.84,6.84,857221
