Date,Open,High,Low,Close,Adj Close,Volume
7/1/2018,11.99,13.975,7.995,8,8,1009900
8/1/2018,8.19,12.31,6.442,11.635,11.635,2933000
9/1/2018,11.999,25.031,11.999,18.216999,18.216999,12827600
10/1/2018,18.9,19.84,10.36,11.3,11.3,5194000
11/1/2018,11.405,16.514,9.91,9.97,9.97,3627100
12/1/2018,10.075,11.164,7.373,8.03,8.03,4742200
1/1/2019,8.22,13.69,7.747,11.34,11.34,4258900
2/1/2019,11.503,15.6,11.166,14.397,14.397,4932100
3/1/2019,14.281,15.88,11.727,15.1,15.1,6506400
4/1/2019,15.646,16.68,13.943,14.743,14.743,6482600
5/1/2019,15.29,15.29,11.06,12.1,12.1,4711400
6/1/2019,12.31,12.31,9.56,11.143,11.143,4376300
7/1/2019,11.73,11.91,8.57,9.55,9.55,4455700
8/1/2019,9.92,10.1,7.85,8.586,8.586,5367500
9/1/2019,8.78,10.9,7.997,8.171,8.171,7402500
10/1/2019,8.08,9.746,7.9,8.43,8.43,4588400
11/1/2019,8.255,10.235,7.546,9.302,9.302,5042400
12/1/2019,9.34,9.9,7.76,9.75,9.75,5509600
1/1/2020,9.88,10.5,8.724,9.55,9.55,5652700
2/1/2020,9.545,9.61,6.44,7.058,7.058,6920300
3/1/2020,7,7.2,3.693,5.821,5.821,11176200
4/1/2020,5.75,7.55,5.25,7.19,7.19,5268300
5/1/2020,7.01,10.258,6.54,10.24,10.24,7741600
6/1/2020,10.25,10.96,8.8,9.998,9.998,6672000
7/1/2020,10,10.445,9.901,10,10,336600
7/6/2020,10,10.25,9.92,10.03,10.03,281909
