Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,5.3,6.17,4.81,4.95,4.95,175500
12/1/2018,5.08,5.34,3.6,5.25,5.25,320800
1/1/2019,5.25,7.1,4.97,6.89,6.89,1594700
2/1/2019,6.92,8.45,6.9,7.47,7.47,5390700
3/1/2019,7.37,10.29,5.81,9.58,9.58,10756600
4/1/2019,9.96,10.85,7.86,8.72,8.72,9564400
5/1/2019,8.66,9.13,6.56,6.7,6.7,6979100
6/1/2019,6.95,7.01,5.5,6.17,6.17,6438400
7/1/2019,6.3,6.45,4.77,5.46,5.46,7400200
8/1/2019,5.62,5.9,4,4.87,4.87,6998800
9/1/2019,4.99,5.82,2.99,3.19,3.19,6719000
10/1/2019,3.09,3.48,2.04,2.72,2.72,8297100
11/1/2019,2.71,3.07,2.25,2.56,2.56,6596300
12/1/2019,2.5,3.25,2.03,3.15,3.15,5895600
1/1/2020,3.28,3.64,2.68,3.04,3.04,7316900
2/1/2020,2.98,3,1.94,2.31,2.31,5519300
3/1/2020,2.27,2.36,0.46,0.92,0.92,15152300
4/1/2020,0.91,1.6,0.61,1.35,1.35,12697600
5/1/2020,1.39,1.7,1,1.4,1.4,10095100
6/1/2020,1.33,1.48,0.74,0.9,0.9,9278800
7/1/2020,0.9,1.05,0.85,0.89,0.89,680100
7/7/2020,0.807,0.92725,0.807,0.8813,0.8813,211679
