Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,16.75,18.424,15.72,18.25,16.431902,839000
8/1/2017,18.5,18.518,16.35,17.08,15.37846,579000
9/1/2017,17.17,18.860001,16.51,18.700001,16.83707,552800
10/1/2017,18.74,19.950001,17.940001,19.709999,17.892715,844100
11/1/2017,19.940001,19.940001,18.077,18.15,16.476549,473600
12/1/2017,18.059999,32.519001,18.059999,32.310001,29.330978,3151500
1/1/2018,33.75,36.880001,25.18,28.57,26.169472,8987100
2/1/2018,28.6,28.855,23.629999,24.959999,22.862787,2306800
3/1/2018,24.959999,32.310001,24.379999,26.75,24.50239,2837800
4/1/2018,27.35,36.099998,27.110001,34.139999,31.574244,2213800
5/1/2018,34.5,38.599998,31.799999,37.57,34.746468,2661900
6/1/2018,38.080002,39.749001,34.169998,36.619999,33.867863,3870200
7/1/2018,36.82,37,31.608,32.380001,30.150181,2067400
8/1/2018,32.5,45.5,32,45.400002,42.273567,2803000
9/1/2018,46,49.490002,38.82,48.240002,44.917992,4048800
10/1/2018,49.220001,49.740002,39.452,40.990002,38.454971,7275900
11/1/2018,41.07,55.630001,39.564999,49.349998,46.297943,6528400
12/1/2018,50.889999,53.98,42.549999,45.389999,42.582851,4265000
1/1/2019,44.950001,63.529999,44.403999,61.919998,58.548267,4316500
2/1/2019,62.18,81.599998,59.560001,78.989998,74.688759,10847400
3/1/2019,79.25,93.239998,66.550003,81.690002,77.24173,9905200
4/1/2019,82.510002,87.989998,75.559998,85.139999,80.922432,8455700
5/1/2019,85.099998,91.269997,78.730003,84.029999,79.867416,7148300
6/1/2019,84.029999,137.779999,82.139999,123.559998,117.439224,11930500
7/1/2019,124.709999,139.529999,98.5,105.669998,100.919044,14726000
8/1/2019,105.459999,115.82,88,89.160004,85.151352,8854300
9/1/2019,89.019997,98.824997,82.150002,92.370003,88.217018,9975000
10/1/2019,91.449997,92.829002,66.610001,76,73.183266,9577500
11/1/2019,78.400002,87.199997,72.300003,77.410004,74.541008,8276500
12/1/2019,77.559998,79.690002,69.610001,75.870003,73.058075,8776100
1/1/2020,77.550003,95.255997,71.900002,89.5,87.342224,13321500
2/1/2020,90.57,108.230003,86.5,91.940002,89.723404,8823300
3/1/2020,92.650002,101,40.209999,75.93,74.099388,14987600
4/1/2020,71,80.949997,64.675003,78.459999,77.528259,9115300
5/1/2020,76.519997,87.730003,66.860001,81.720001,80.749542,7249400
6/1/2020,82.389999,101.480003,82.269997,88.019997,86.974724,10630200
7/1/2020,89.150002,97.379997,88.709999,92.790001,92.790001,3043000
7/6/2020,96.150002,97.349998,95,96.43,96.43,437068
