Date,Open,High,Low,Close,Adj Close,Volume
3/1/2018,4.15,5.58,4.01,5,5,4483400
4/1/2018,5.05,5.795,4.68,5.53,5.53,5740800
5/1/2018,5.69,6.75,5.26,6.35,6.35,6939000
6/1/2018,6.4,6.93,4.4,4.5,4.5,18192400
7/1/2018,4.52,5.4,4.32,4.53,4.53,6959700
8/1/2018,4.405,5.49,3.76,5.33,5.33,11725200
9/1/2018,5.31,6.42,4.81,5.9,5.9,12682000
10/1/2018,5.965,6.36,4.41,5.27,5.27,13116300
11/1/2018,5.41,6.7,4.76,5.75,5.75,11355300
12/1/2018,5.865,5.99,4.37,5.37,5.37,8359900
1/1/2019,5.47,7.2,4.99,5.44,5.44,30145200
2/1/2019,5.515,6.49,5.4,6.01,6.01,16532200
3/1/2019,6.045,6.05,5.44,5.94,5.94,11942600
4/1/2019,6.075,6.28,5.26,5.36,5.36,14749900
5/1/2019,5.33,5.35,4.15,4.19,4.19,10212000
6/1/2019,4.16,5.19,4.04,5.07,5.07,7543200
7/1/2019,5.23,5.41,4.29,4.777,4.777,10754800
8/1/2019,4.795,4.99,3.51,3.75,3.75,8566500
9/1/2019,3.7,3.96,1.32,1.48,1.48,21830200
10/1/2019,1.53,2.12,1.26,1.99,1.99,23477800
11/1/2019,2,2,1.42,1.77,1.77,14797900
12/1/2019,1.79,1.79,1.38,1.64,1.64,10884000
1/1/2020,1.69,2.18,1.48,2.07,2.07,18074900
2/1/2020,2.09,2.12,0.9,1.07,1.07,17537500
3/1/2020,1.04,1.19,0.3,0.65,0.65,26906800
4/1/2020,0.65,0.758,0.545,0.692,0.692,13585100
5/1/2020,0.686,1.28,0.59,1.185,1.185,16761900
6/1/2020,1.14,1.23,0.685,0.704,0.704,13913400
7/1/2020,0.739,0.8,0.7,0.74,0.74,1403800
7/7/2020,0.76,0.795,0.73,0.745,0.745,553009
