Date,Open,High,Low,Close,Adj Close,Volume
5/1/2018,3.451,3.569,3.384,3.384,3.384,38100
6/1/2018,3.23,4.99,2.61,3.61,3.61,11557500
7/1/2018,4.08,4.27,3.195,3.31,3.31,4603400
8/1/2018,3.387,4.235,2.85,4.17,4.17,10704500
9/1/2018,4.198,5.45,3.79,3.866,3.866,27166900
10/1/2018,3.992,7.572,3.866,5,5,64905600
11/1/2018,4.993,6.34,3.07,3.3,3.3,34853400
12/1/2018,3.351,3.61,2.531,2.82,2.82,21792800
1/1/2019,2.895,3.84,2.83,3.54,3.54,21634200
2/1/2019,3.37,3.53,2.726,3.03,3.03,28676400
3/1/2019,2.939,3.504,2.654,3.07,3.07,32817500
4/1/2019,3.077,3.158,2.7,2.75,2.75,24933800
5/1/2019,2.77,2.795,2,2.19,2.19,22931500
6/1/2019,2.176,2.69,1.88,2.601,2.601,23064600
7/1/2019,2.625,2.78,1.974,2.03,2.03,19022600
8/1/2019,2.041,2.21,1.718,1.97,1.97,17529400
9/1/2019,2.001,2.15,1.35,1.45,1.45,17737000
10/1/2019,1.42,1.86,0.997,1.03,1.03,27288300
11/1/2019,1.08,1.25,0.375,0.461,0.461,36624700
12/1/2019,0.469,0.758,0.36,0.533,0.533,60434200
1/1/2020,0.578,0.65,0.376,0.448,0.448,49905400
2/1/2020,0.415,0.45,0.23,0.242,0.242,49769400
3/1/2020,0.251,0.393,0.094,0.219,0.219,68938400
4/1/2020,0.2,0.249,0.143,0.185,0.185,43781900
5/1/2020,0.189,0.389,0.15,0.243,0.243,66227500
6/1/2020,0.243,0.297,0.199,0.228,0.228,35257600
7/1/2020,0.243,0.255,0.207,0.223,0.223,2794500
7/7/2020,0.2264,0.2372,0.208,0.21,0.21,1050620
