Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,0.6,0.69,0.56,0.645,0.645,341200
8/1/2017,0.616,0.7,0.58,0.634,0.634,534800
9/1/2017,0.6,0.65,0.423,0.459,0.459,800200
10/1/2017,0.451,0.5,0.201,0.34,0.34,976600
11/1/2017,0.314,0.8,0.25,0.699,0.699,1536700
12/1/2017,0.69,0.78,0.455,0.69,0.69,1938400
1/1/2018,0.79,1.48,0.517,1.3,1.3,8485100
2/1/2018,1.23,1.45,1,1.15,1.15,2924700
3/1/2018,1.165,1.29,1,1.13,1.13,1812600
4/1/2018,1.1,1.28,0.95,1.19,1.19,1955900
5/1/2018,1.2,1.98,1.14,1.7,1.7,4872700
6/1/2018,1.77,4.07,1.67,2.31,2.31,13564400
7/1/2018,2.475,3.29,2,2.078,2.078,6188000
8/1/2018,2.045,2.99,1.934,2.69,2.69,6491500
9/1/2018,2.79,3.99,2.6,3.75,3.75,13655900
10/1/2018,3.76,5.8,3.15,4.46,4.46,25202500
11/1/2018,4.5,5.13,3.91,4.17,4.17,7993300
12/1/2018,4.16,4.23,2.35,3.25,3.25,9904500
1/1/2019,3.2,5.33,3.14,4.04,4.04,14422400
2/1/2019,4.01,4.22,3.5,3.9,3.9,5731900
3/1/2019,3.93,3.98,3.32,3.5,3.5,4509200
4/1/2019,3.49,4.19,2.67,3.32,3.32,8297500
5/1/2019,3.27,3.33,2.75,2.82,2.82,3775300
6/1/2019,2.98,2.99,1.92,2.02,2.02,5351700
7/1/2019,2.03,2.15,1.21,1.47,1.47,6975200
8/1/2019,1.49,1.93,1.26,1.3,1.3,6388700
9/1/2019,1.29,1.3,0.671,1,1,10818700
10/1/2019,1,1.12,0.655,1,1,7909700
11/1/2019,1.05,1.08,0.725,0.73,0.73,4496700
12/1/2019,0.731,0.743,0.392,0.618,0.618,11853600
1/1/2020,0.621,0.86,0.41,0.423,0.423,14478600
2/1/2020,0.45,0.475,0.223,0.25,0.25,18653900
3/1/2020,0.24,0.3,0.1,0.177,0.177,27132000
4/1/2020,0.16,0.189,0.133,0.154,0.154,18401100
5/1/2020,0.15,0.28,0.13,0.18,0.18,41269100
6/1/2020,0.185,0.25,0.155,0.157,0.157,35662400
7/1/2020,0.157,0.165,0.147,0.15,0.15,4063600
7/6/2020,0.1401,0.1569,0.1401,0.1499,0.1499,490626
