Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,5.08,5.48,3.93,4.88,4.88,4717000
8/1/2017,4.87,5.139,3.29,4.23,4.23,7131500
9/1/2017,4.35,4.4,3.35,3.41,3.41,5108900
10/1/2017,3.38,3.47,2.21,2.34,2.34,7621000
11/1/2017,2.39,2.85,1.8,2.26,2.26,6832400
12/1/2017,2.26,2.34,1.91,2.17,2.17,4775200
1/1/2018,2.17,4.24,2.09,3.58,3.58,33135900
2/1/2018,3.64,3.83,3.05,3.22,3.22,5850600
3/1/2018,3.18,3.629,2.21,2.42,2.42,5906000
4/1/2018,2.42,2.505,1.62,1.84,1.84,15255500
5/1/2018,1.84,2.28,1.7,1.79,1.79,7738800
6/1/2018,1.83,2.58,1.56,1.87,1.87,7681400
7/1/2018,1.87,2.41,1.77,2.03,2.03,5147300
8/1/2018,1.99,2.135,1.3,1.48,1.48,15335700
9/1/2018,1.48,9.99,1.48,5.35,5.35,572775200
10/1/2018,6.88,9.48,3.56,4.53,4.53,549101100
11/1/2018,4.48,5.4,3.03,4.63,4.63,244416100
12/1/2018,5.31,6.9,4.15,5.2,5.2,304233100
1/1/2019,5.2,7.62,4.99,7.11,7.11,273497900
2/1/2019,7.11,7.79,5.23,5.87,5.87,152620300
3/1/2019,5.97,5.99,4.95,5.26,5.26,91037200
4/1/2019,5.27,6.69,4.72,5.4,5.4,195986300
5/1/2019,5.16,5.65,5.05,5.06,5.06,71940100
6/1/2019,5.1,5.14,4.23,4.66,4.66,66102200
7/1/2019,4.65,4.79,3.35,3.74,3.74,50204700
8/1/2019,3.75,3.85,2.82,3.04,3.04,45144600
9/1/2019,2.98,3.455,2.73,2.76,2.76,42588600
10/1/2019,2.81,3.59,2.57,2.69,2.69,49776800
11/1/2019,2.7,2.77,2.09,2.16,2.16,31915400
12/1/2019,2.13,2.16,1.76,1.82,1.82,38357500
1/1/2020,1.83,2.35,1.66,1.74,1.74,50286300
2/1/2020,1.74,2.84,1.72,2.02,2.02,60557300
3/1/2020,2.05,2.16,0.981,1.39,1.39,54972100
4/1/2020,1.3,1.88,1.02,1.41,1.41,53879300
5/1/2020,1.39,1.67,1.23,1.51,1.51,45497100
6/1/2020,1.5,2,1.42,1.53,1.53,49963600
7/1/2020,1.56,1.58,1.47,1.5,1.5,3457400
7/6/2020,1.55,1.55,1.49,1.53,1.53,1665808
