Date,Open,High,Low,Close,Adj Close,Volume
7/1/2018,0.6477,0.85,0.575,0.575,0.575,229302
8/1/2018,0.61,2,0.5015,1.1246,1.1246,1173638
9/1/2018,1.1246,2.38,1.11,1.94,1.94,4540799
10/1/2018,2.12,2.29,1.3898,1.78,1.78,4728459
11/1/2018,1.805,2.6695,1.729,1.8,1.8,5010353
12/1/2018,1.86,1.86,0.866,1.09,1.09,3879828
1/1/2019,1.09,1.7,1.09,1.64,1.64,4038216
2/1/2019,1.66,1.72,1.3,1.43,1.43,3289659
3/1/2019,1.46,1.65,1.293,1.5894,1.5894,3633314
4/1/2019,1.63,2.7,1.61,2.407,2.407,10230243
5/1/2019,2.34,2.5533,1.745,2,2,7290410
6/1/2019,1.94,2.5,1.79,2,2,4799092
7/1/2019,2.03,2.18,1.795,2.05,2.05,6794411
8/1/2019,2.066,2.1575,1.7,1.8037,1.8037,6135439
9/1/2019,1.8037,2.1,1.6,1.7962,1.7962,5345260
10/1/2019,1.84,1.84387,1.2556,1.37312,1.37312,5178101
11/1/2019,1.38,1.8,1.28,1.612,1.612,3595608
12/1/2019,1.6,2,1.46,1.96,1.96,4307586
1/1/2020,1.96,2.02,1.51,1.5577,1.5577,3723377
2/1/2020,1.5,1.96,1.35,1.6499,1.6499,9061852
3/1/2020,1.65,1.75,0.63,1.01,1.01,11298854
4/1/2020,0.9,1.355,0.8815,1.165,1.165,5994454
5/1/2020,1.23,1.34,1.0078,1.27,1.27,5424130
6/1/2020,1.31,1.99,1.22,1.58,1.58,26067432
7/1/2020,1.58,1.72,1.5684,1.7,1.7,2147178
7/7/2020,1.83,1.83,1.62,1.65,1.65,495687
