Date,Open,High,Low,Close,Adj Close,Volume
7/1/2018,6.24,6.39,4.88,5.15,5.15,12841900
8/1/2018,5.2,6.22,4.93,5.66,5.66,21727100
9/1/2018,5.86,10.24,5.86,7.21,7.21,82147600
10/1/2018,6.85,7.09,2.94,3.1,3.1,74068700
11/1/2018,3.15,4.98,2.45,3.3,3.3,121887300
12/1/2018,3.34,3.52,2.19,2.46,2.46,49651900
1/1/2019,2.45,4.32,2.41,3.52,3.52,112544100
2/1/2019,3.5,4.09,3.06,3.99,3.99,75644100
3/1/2019,4,5.81,3.98,4.82,4.82,133437500
4/1/2019,4.89,4.89,3.9,4.48,4.48,58744300
5/1/2019,4.53,4.63,3.5,3.51,3.51,44360300
6/1/2019,3.55,3.77,3.1,3.23,3.23,24893500
7/1/2019,3.18,3.4,2.64,3.02,3.02,22951900
8/1/2019,3.03,3.69,2.82,3.36,3.36,32072800
9/1/2019,3.36,3.53,2.02,2.03,2.03,52704100
10/1/2019,2,2.09,0.91,1.02,1.02,79349400
11/1/2019,1,1.23,0.62,0.74,0.74,103798200
12/1/2019,0.73,0.88,0.64,0.75,0.75,52941100
1/1/2020,0.77,0.84,0.64,0.68,0.68,52634500
2/1/2020,0.67,0.73,0.42,0.435,0.435,39457500
3/1/2020,0.43,0.51,0.22,0.3,0.3,55172000
4/1/2020,0.32,0.32,0.255,0.26,0.26,34034700
5/1/2020,0.27,0.64,0.24,0.435,0.435,126619300
6/1/2020,0.435,0.53,0.345,0.365,0.365,66681800
7/1/2020,0.36,0.385,0.35,0.355,0.355,2107600
7/6/2020,0.37,0.37,0.355,0.365,0.365,774505
