Date,Open,High,Low,Close,Adj Close,Volume
7/1/2018,5.19,5.222,3.748,3.977,3.977,2972200
8/1/2018,4.008,4.8,3.75,4.339,4.339,5533900
9/1/2018,4.447,7.894,4.42,5.562,5.562,45161800
10/1/2018,5.351,5.538,2.24,2.38,2.38,29551800
11/1/2018,2.395,3.792,1.87,2.48,2.48,23312500
12/1/2018,2.52,2.657,1.607,1.81,1.81,13259000
1/1/2019,1.83,3.25,1.75,2.68,2.68,25101400
2/1/2019,2.673,3.14,2.3,3.03,3.03,23360800
3/1/2019,3.029,4.38,2.998,3.616,3.616,37893700
4/1/2019,3.67,3.67,2.914,3.35,3.35,18336900
5/1/2019,3.36,3.46,2.582,2.602,2.602,13670100
6/1/2019,2.61,2.88,2.31,2.48,2.48,9282600
7/1/2019,2.72,2.72,2.01,2.27,2.27,9845500
8/1/2019,2.255,2.79,2.14,2.501,2.501,14109500
9/1/2019,2.45,2.65,1.53,1.55,1.55,19447400
10/1/2019,1.52,1.59,0.686,0.76,0.76,34183300
11/1/2019,0.764,0.935,0.469,0.561,0.561,33105300
12/1/2019,0.561,0.663,0.49,0.58,0.58,20550800
1/1/2020,0.597,0.648,0.49,0.519,0.519,22130000
2/1/2020,0.511,0.542,0.311,0.33,0.33,21700500
3/1/2020,0.316,0.386,0.15,0.225,0.225,29405300
4/1/2020,0.22,0.231,0.181,0.193,0.193,14290700
5/1/2020,0.19,0.46,0.169,0.322,0.322,45732200
6/1/2020,0.312,0.389,0.25,0.27,0.27,21962700
7/1/2020,0.271,0.289,0.255,0.268,0.268,1125500
7/6/2020,0.268,0.2744,0.2605,0.26705,0.26705,477944
