Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,7.75,8.55,7.55,8.3,7.502719,5224400
8/1/2017,8.3,8.35,7.6,7.9,7.141142,8281600
9/1/2017,7.85,9.1,7.51,8.9,8.113737,7239200
10/1/2017,8.95,9.3,8.7,9.18,8.369003,6432200
11/1/2017,9.2,9.7,8.61,9.35,8.523983,6394200
12/1/2017,9.4,9.6,8.8,9.2,8.444694,7686600
1/1/2018,9.2,9.32,8.55,8.6,7.893955,7457000
2/1/2018,8.65,8.95,8.25,8.5,7.802163,6287000
3/1/2018,8.45,9,8.32,8.45,7.756267,6482000
4/1/2018,8.5,8.8,8.3,8.55,7.909473,5997900
5/1/2018,8.6,8.95,8.4,8.7,8.048236,5828500
6/1/2018,8.75,9.35,8.65,8.9,8.295112,7628300
7/1/2018,8.95,9.4,8.85,9.1,8.481522,5574200
8/1/2018,9.15,9.45,9.05,9.25,8.621325,7363700
9/1/2018,9.2,9.32,8.35,8.5,7.9223,6121300
10/1/2018,8.53,8.53,7.27,7.49,7.032927,5933600
11/1/2018,7.57,8.19,7.48,7.89,7.408516,5263800
12/1/2018,7.82,7.92,6.51,6.86,6.441372,6755200
1/1/2019,6.8,8,6.77,7.76,7.354306,5187000
2/1/2019,7.76,8.64,7.76,8.47,8.027186,4181100
3/1/2019,8.52,8.54,7.43,7.76,7.413544,5918600
4/1/2019,7.78,8.24,7.6,8,7.642829,4454100
5/1/2019,8,8.25,7.33,7.38,7.05051,3951900
6/1/2019,7.39,7.96,7.32,7.92,7.566401,4897900
7/1/2019,7.99,8.25,7.64,8.1,7.808883,5814000
8/1/2019,8.1,8.19,7.45,7.67,7.394337,5132200
9/1/2019,7.62,8.48,7.51,8.15,7.857085,5846300
10/1/2019,8.24,8.65,7.86,8.64,8.404575,5588600
11/1/2019,8.67,8.92,8.59,8.78,8.54076,4683800
12/1/2019,8.8,9.1,8.55,8.67,8.433759,7049200
1/1/2020,8.72,8.77,7.9,7.93,7.775043,6180800
2/1/2020,7.96,8.19,6.8,6.86,6.725951,5956500
3/1/2020,6.84,7.48,4.3,5.41,5.304286,15256400
4/1/2020,5.31,6.64,4.75,6.3,6.234496,10928700
5/1/2020,6.15,6.98,4.79,6.3,6.234496,16390200
6/1/2020,6.31,7.25,5.75,6.33,6.264184,10447900
7/1/2020,6.4,6.42,6.02,6.04,6.04,863200
7/6/2020,6.2,6.24,6.01,6.07,6.07,192048
