Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,3.15,4.95,2.85,3.75,3.75,11741500
8/1/2017,3.9,4.35,3.3,3.75,3.75,6761200
9/1/2017,3.75,3.75,2.7,3.3,3.3,4762300
10/1/2017,3.3,3.45,2.7,2.85,2.85,4664400
11/1/2017,2.85,3.75,2.85,3,3,7834400
12/1/2017,3.3,6,3.15,5.85,5.85,18729600
1/1/2018,0.387,9.45,0.2925,4.8,4.8,209736900
2/1/2018,4.8,4.8,3.15,3.6,3.6,9398000
3/1/2018,3.6,5.74,2.3,2.52,2.52,13851700
4/1/2018,2.55,3.48,2.1,2.7,2.7,14724000
5/1/2018,2.87,3.2,2.45,2.66,2.66,10944100
6/1/2018,2.66,2.98,1.98,2.16,2.16,14973200
7/1/2018,2.15,2.29,1.71,1.9,1.9,18921800
8/1/2018,1.9,2.07,1.61,1.79,1.79,17602800
9/1/2018,1.77,2.53,1.52,2.08,2.08,29080400
10/1/2018,2.13,2.26,1.6,1.72,1.72,22795700
11/1/2018,1.73,1.9,0.91,1.15,1.15,15711900
12/1/2018,1.14,1.21,0.46,0.56,0.56,20118300
1/1/2019,0.56,1.14,0.56,0.75,0.75,32837200
2/1/2019,0.76,0.86,0.56,0.85,0.85,22132000
3/1/2019,0.85,1.88,0.75,0.92,0.92,72804800
4/1/2019,0.93,0.96,0.75,0.85,0.85,20031000
5/1/2019,0.85,0.86,0.66,0.68,0.68,14715800
6/1/2019,0.67,0.75,0.56,0.58,0.58,15369700
7/1/2019,0.58,0.61,0.35,0.4,0.4,17228100
8/1/2019,0.4,0.5,0.34,0.36,0.36,11598000
9/1/2019,0.35,0.49,0.35,0.36,0.36,16825500
10/1/2019,0.36,0.38,0.25,0.26,0.26,11636600
11/1/2019,0.27,0.31,0.17,0.19,0.19,20510900
12/1/2019,0.19,0.2,0.15,0.16,0.16,13435300
1/1/2020,0.16,0.26,0.15,0.15,0.15,26816300
2/1/2020,0.15,0.17,0.11,0.13,0.13,10812100
3/1/2020,0.13,0.13,0.07,0.08,0.08,21747700
4/1/2020,0.08,0.09,0.07,0.07,0.07,20019900
5/1/2020,0.07,0.16,0.05,0.1,0.1,31555000
6/1/2020,0.1,0.15,0.09,0.11,0.11,25183100
7/1/2020,0.13,0.13,0.1,0.11,0.11,949500
7/6/2020,0.1,0.11,0.0992,0.103,0.103,1035882
