Date,Open,High,Low,Close,Adj Close,Volume
11/1/2017,5.16,5.88,4.5,5.2,5.2,659900
12/1/2017,5.25,5.32,4,4.35,4.35,169500
1/1/2018,4.305,5.25,4.3,4.932,4.932,145600
2/1/2018,5,5,3.58,4,4,235900
3/1/2018,3.992,4.2,3.5,4.19,4.19,210600
4/1/2018,4.173,5.524,3.829,4.984,4.984,556000
5/1/2018,4.969,5.42,4.3,4.72,4.72,1209100
6/1/2018,4.75,4.85,3.65,3.7,3.7,716700
7/1/2018,3.67,3.867,3.25,3.41,3.41,271300
8/1/2018,3.41,3.97,2.74,3.49,3.49,1404300
9/1/2018,3.49,7.68,3,3.63,3.63,4727300
10/1/2018,4.2,8.48,3.25,3.74,3.74,23817800
11/1/2018,3.77,4.79,3.62,4.15,4.15,2258500
12/1/2018,4.3,4.89,2.54,3.09,3.09,7773900
1/1/2019,3.01,4.883,3,4.74,4.74,3196200
2/1/2019,4.74,5.38,4.11,4.37,4.37,3059100
3/1/2019,4.39,4.88,3.9,4.42,4.42,2074400
4/1/2019,4.39,6.17,4,6.08,6.08,5023300
5/1/2019,6.25,7.24,5.16,6.12,6.12,9147400
6/1/2019,6.26,6.38,5.01,5.9,5.9,5373900
7/1/2019,6,6.031,3.63,4.35,4.35,4805600
8/1/2019,4.4,5.35,3.92,4.1,4.1,3511500
9/1/2019,4.13,5.19,3.66,3.96,3.96,3002700
10/1/2019,4,4.17,3.08,3.52,3.52,2382400
11/1/2019,3.46,4.05,2.85,3.25,3.25,2491900
12/1/2019,3.251,3.43,2.196,2.26,2.26,3638400
1/1/2020,2.33,2.54,0.99,1.04,1.04,29387600
2/1/2020,1.1,1.26,1,1.02,1.02,15241200
3/1/2020,1.03,1.06,0.502,0.93,0.93,13390900
4/1/2020,0.91,1.19,0.739,0.963,0.963,21738800
5/1/2020,0.96,2.19,0.807,1.47,1.47,73897400
6/1/2020,1.43,2,1.39,1.91,1.91,29392000
7/1/2020,1.86,2.04,1.81,1.95,1.95,2413200
7/6/2020,2.03,2.45,2,2.41,2.41,5158653
